province,type_zone,nom_etablissement,type_etablissement,nb_eleves,mois_depuis_derniere_visite,theme,saison,jour,distance_km,budget_mad,risque_logistique,score_engagement
Tata,Rurale,Lycée Hassan Ier,Lycée,359,2,Intelligence Artificielle MVP,Printemps,Mardi,409,4160.04,Moyen,60
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,866,20,Intelligence Artificielle MVP,Printemps,Mercredi,12,127.34,Faible,73
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1169,8,Intelligence Artificielle MVP,Ete,Lundi,17,163.11,Faible,40
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,767,18,Creation de Jeux Scratch,Printemps,Dimanche,128,1476.66,Faible,84
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,926,11,Initiation Python,Ete,Lundi,47,466.65,Faible,41
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,433,2,Creation de Jeux Scratch,Printemps,Jeudi,307,2776.99,Faible,59
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,772,6,Robotique & Arduino,Automne,Lundi,87,947.64,Faible,62
Safi,Mixte,Lycée Zerktouni,Lycée,735,18,Intelligence Artificielle MVP,Printemps,Dimanche,90,723.61,Faible,82
Tata,Rurale,Lycée Hassan Ier,Lycée,277,4,Robotique & Arduino,Ete,Mardi,248,2865.13,Moyen,54
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,430,0,Creation de Jeux Scratch,Printemps,Mercredi,308,2682.0,Moyen,64
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,946,14,Creation de Jeux Scratch,Ete,Mardi,19,219.7,Faible,42
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,788,9,Intelligence Artificielle MVP,Hiver,Vendredi,142,1435.84,Faible,73
Taroudant,Mixte,Collège Al Majd,Collège,742,20,Intelligence Artificielle MVP,Printemps,Vendredi,68,774.79,Faible,72
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1190,22,Intelligence Artificielle MVP,Automne,Mercredi,45,529.59,Faible,72
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1205,14,Creation de Jeux Scratch,Ete,Lundi,43,435.54,Faible,37
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,718,9,Robotique & Arduino,Ete,Dimanche,100,923.87,Faible,72
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,703,24,Initiation Python,Hiver,Samedi,79,666.63,Faible,80
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,737,3,Creation de Jeux Scratch,Automne,Dimanche,32,337.31,Faible,58
Azilal,Rurale,Lycée Ouzoud,Lycée,438,4,Intelligence Artificielle MVP,Printemps,Dimanche,261,2918.4,Faible,69
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,557,7,Robotique & Arduino,Ete,Mardi,133,1304.67,Faible,68
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,263,15,Initiation Python,Ete,Dimanche,160,1893.3,Faible,75
Midelt,Rurale,Collège Ibn Khaldoun,Collège,594,22,Intelligence Artificielle MVP,Ete,Lundi,209,2430.92,Moyen,57
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,428,24,Robotique & Arduino,Ete,Lundi,160,1490.11,Faible,57
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,653,19,Intelligence Artificielle MVP,Automne,Vendredi,106,849.87,Faible,67
Tata,Rurale,Collège Ibn Batouta,Collège,442,7,Robotique & Arduino,Hiver,Dimanche,400,6777.22,Eleve,83
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,210,17,Robotique & Arduino,Ete,Jeudi,126,1388.4,Faible,67
Azilal,Rurale,Lycée Ouzoud,Lycée,455,15,Creation de Jeux Scratch,Automne,Jeudi,285,2851.26,Moyen,76
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,957,4,Intelligence Artificielle MVP,Ete,Dimanche,26,223.19,Faible,55
Midelt,Rurale,Collège Ibn Khaldoun,Collège,667,22,Initiation Python,Printemps,Vendredi,255,2780.11,Moyen,74
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,814,18,Robotique & Arduino,Automne,Vendredi,33,395.88,Faible,73
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,416,22,Creation de Jeux Scratch,Printemps,Dimanche,306,3231.13,Moyen,76
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,759,8,Robotique & Arduino,Hiver,Jeudi,54,482.35,Faible,80
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,734,3,Robotique & Arduino,Hiver,Vendredi,33,329.41,Faible,49
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1151,14,Creation de Jeux Scratch,Ete,Mardi,40,321.43,Faible,44
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,718,23,Initiation Python,Ete,Mardi,67,570.2,Faible,56
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1006,9,Robotique & Arduino,Hiver,Samedi,45,366.2,Faible,76
Zagora,Rurale,Collège Al Massira,Collège,580,3,Creation de Jeux Scratch,Printemps,Vendredi,185,1838.41,Moyen,69
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,469,23,Intelligence Artificielle MVP,Automne,Dimanche,398,4132.52,Moyen,75
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,516,7,Creation de Jeux Scratch,Printemps,Samedi,305,2705.93,Faible,78
Zagora,Rurale,Collège Al Massira,Collège,560,12,Creation de Jeux Scratch,Automne,Vendredi,427,4054.02,Moyen,81
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,397,3,Creation de Jeux Scratch,Ete,Mardi,269,2806.81,Moyen,46
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,406,2,Initiation Python,Printemps,Jeudi,208,2168.11,Faible,59
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,816,17,Initiation Python,Ete,Mercredi,61,548.95,Faible,60
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,647,12,Initiation Python,Hiver,Jeudi,110,1010.07,Faible,69
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,261,24,Intelligence Artificielle MVP,Ete,Samedi,249,2402.27,Moyen,62
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,975,13,Creation de Jeux Scratch,Printemps,Dimanche,30,344.86,Faible,57
Safi,Mixte,Lycée Zerktouni,Lycée,652,2,Robotique & Arduino,Automne,Jeudi,112,1215.18,Faible,61
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,860,16,Intelligence Artificielle MVP,Printemps,Mercredi,37,333.24,Faible,61
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,509,17,Initiation Python,Hiver,Dimanche,368,3202.64,Moyen,79
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,602,7,Robotique & Arduino,Ete,Lundi,89,909.75,Faible,62
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,858,2,Robotique & Arduino,Ete,Lundi,120,1015.72,Faible,47
Fes,Urbaine,Lycée Moulay Idriss,Lycée,987,16,Initiation Python,Printemps,Samedi,35,295.28,Faible,66
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,712,3,Initiation Python,Hiver,Mercredi,148,1596.18,Faible,64
Midelt,Rurale,Collège Ibn Khaldoun,Collège,576,0,Initiation Python,Printemps,Lundi,291,2785.07,Moyen,55
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,1025,22,Robotique & Arduino,Ete,Samedi,10,99.36,Faible,62
Settat,Mixte,Collège Al Wahda,Collège,887,22,Robotique & Arduino,Ete,Dimanche,107,1018.43,Faible,68
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,723,18,Initiation Python,Automne,Samedi,106,902.37,Faible,85
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,917,2,Initiation Python,Ete,Samedi,25,282.78,Faible,37
Settat,Mixte,Collège Al Wahda,Collège,873,24,Robotique & Arduino,Printemps,Dimanche,78,669.66,Faible,85
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,226,3,Initiation Python,Hiver,Lundi,22,181.36,Faible,53
Zagora,Rurale,Lycée Hassan II,Lycée,385,13,Intelligence Artificielle MVP,Hiver,Mercredi,286,4443.09,Eleve,73
Safi,Mixte,Lycée Moulay Ismail,Lycée,650,19,Initiation Python,Automne,Vendredi,112,1179.74,Faible,70
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,978,6,Initiation Python,Automne,Vendredi,20,211.37,Faible,63
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1049,23,Intelligence Artificielle MVP,Automne,Dimanche,22,249.87,Faible,67
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,854,13,Robotique & Arduino,Automne,Jeudi,19,159.84,Faible,70
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,984,11,Robotique & Arduino,Automne,Dimanche,36,292.89,Faible,71
Safi,Mixte,Lycée Moulay Ismail,Lycée,630,16,Intelligence Artificielle MVP,Automne,Samedi,139,1365.87,Faible,76
Safi,Mixte,Lycée Zerktouni,Lycée,707,19,Robotique & Arduino,Hiver,Samedi,143,1674.19,Faible,80
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,324,0,Creation de Jeux Scratch,Automne,Vendredi,422,4515.25,Faible,57
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,365,3,Creation de Jeux Scratch,Printemps,Dimanche,367,3346.63,Moyen,79
Settat,Mixte,Lycée Allal Al Fassi,Lycée,804,22,Creation de Jeux Scratch,Printemps,Lundi,148,1549.67,Faible,70
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,835,4,Intelligence Artificielle MVP,Printemps,Vendredi,57,572.47,Faible,63
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,461,12,Robotique & Arduino,Ete,Mercredi,376,3525.03,Moyen,65
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,889,6,Robotique & Arduino,Printemps,Mercredi,22,196.75,Faible,71
Chefchaouen,Rurale,Collège Al Houria,Collège,596,16,Intelligence Artificielle MVP,Automne,Lundi,360,3700.62,Moyen,79
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,210,9,Robotique & Arduino,Ete,Dimanche,24,260.55,Faible,61
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1065,3,Robotique & Arduino,Ete,Mardi,40,338.57,Faible,37
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,380,9,Initiation Python,Automne,Jeudi,446,3698.34,Moyen,72
Fes,Urbaine,CPGE Al Khansaa,CPGE,201,24,Creation de Jeux Scratch,Printemps,Lundi,13,138.69,Faible,59
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,313,16,Initiation Python,Hiver,Lundi,403,7221.46,Eleve,71
Safi,Mixte,Lycée Moulay Ismail,Lycée,591,11,Creation de Jeux Scratch,Ete,Dimanche,62,564.21,Faible,64
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,937,16,Creation de Jeux Scratch,Ete,Samedi,50,473.84,Faible,47
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,761,16,Robotique & Arduino,Automne,Mercredi,11,120.59,Faible,60
Tata,Rurale,Collège Ibn Batouta,Collège,486,6,Intelligence Artificielle MVP,Automne,Mardi,443,3858.55,Moyen,65
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,539,15,Initiation Python,Printemps,Vendredi,63,616.94,Faible,69
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,791,15,Intelligence Artificielle MVP,Ete,Lundi,49,501.55,Faible,41
Chefchaouen,Rurale,Collège Al Houria,Collège,563,2,Initiation Python,Printemps,Lundi,255,2816.79,Faible,54
Settat,Mixte,Collège Al Wahda,Collège,904,23,Initiation Python,Hiver,Dimanche,94,863.32,Faible,80
Taroudant,Mixte,Collège Al Majd,Collège,752,8,Initiation Python,Printemps,Samedi,92,775.68,Faible,71
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,532,10,Robotique & Arduino,Automne,Dimanche,147,1719.22,Faible,82
Tata,Rurale,Lycée Hassan Ier,Lycée,358,6,Initiation Python,Printemps,Lundi,383,3539.36,Faible,72
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,936,3,Creation de Jeux Scratch,Printemps,Mercredi,48,523.82,Faible,47
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,432,14,Intelligence Artificielle MVP,Automne,Samedi,225,2238.98,Faible,74
Chefchaouen,Rurale,Collège Al Houria,Collège,587,10,Intelligence Artificielle MVP,Ete,Lundi,412,4194.33,Faible,54
Azilal,Rurale,Collège Demnate,Collège,612,11,Intelligence Artificielle MVP,Hiver,Mardi,223,3583.18,Eleve,77
Tata,Rurale,Collège Ibn Batouta,Collège,513,14,Intelligence Artificielle MVP,Hiver,Jeudi,307,4659.45,Eleve,71
Tinghir,Rurale,Lycée Bamou,Lycée,565,2,Creation de Jeux Scratch,Hiver,Mardi,335,4621.19,Eleve,52
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,419,18,Initiation Python,Ete,Lundi,394,3224.01,Moyen,49
Settat,Mixte,Lycée Allal Al Fassi,Lycée,836,6,Robotique & Arduino,Automne,Jeudi,78,778.77,Faible,70
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,784,14,Initiation Python,Printemps,Jeudi,29,236.01,Faible,64
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,520,4,Creation de Jeux Scratch,Automne,Mercredi,337,2771.83,Moyen,75
Tata,Rurale,Lycée Hassan Ier,Lycée,323,20,Initiation Python,Hiver,Samedi,198,3296.47,Eleve,77
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,820,18,Robotique & Arduino,Ete,Lundi,13,117.82,Faible,52
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,434,8,Creation de Jeux Scratch,Automne,Dimanche,243,2318.02,Moyen,75
Tata,Rurale,Collège Ibn Batouta,Collège,497,21,Initiation Python,Ete,Vendredi,392,4573.42,Moyen,53
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,889,3,Intelligence Artificielle MVP,Printemps,Vendredi,40,441.37,Faible,67
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,1025,19,Initiation Python,Printemps,Mercredi,38,383.86,Faible,73
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,941,22,Initiation Python,Automne,Vendredi,36,320.59,Faible,61
Azilal,Rurale,Lycée Ouzoud,Lycée,461,19,Intelligence Artificielle MVP,Printemps,Vendredi,330,2713.58,Moyen,77
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,279,6,Creation de Jeux Scratch,Ete,Lundi,259,2216.35,Moyen,55
Zagora,Rurale,Lycée Hassan II,Lycée,419,24,Intelligence Artificielle MVP,Printemps,Lundi,401,3793.59,Faible,65
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,906,19,Intelligence Artificielle MVP,Ete,Mercredi,48,538.24,Faible,46
Zagora,Rurale,Collège Al Massira,Collège,507,14,Creation de Jeux Scratch,Automne,Mercredi,346,3521.6,Moyen,71
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,855,13,Initiation Python,Hiver,Mardi,24,258.44,Faible,74
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,567,21,Creation de Jeux Scratch,Printemps,Dimanche,115,1184.19,Faible,83
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,993,4,Creation de Jeux Scratch,Hiver,Dimanche,15,137.76,Faible,49
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,489,1,Intelligence Artificielle MVP,Hiver,Vendredi,188,2361.08,Eleve,58
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,908,12,Robotique & Arduino,Printemps,Mercredi,35,306.13,Faible,66
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,324,16,Initiation Python,Ete,Mercredi,393,3774.39,Moyen,57
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1098,2,Intelligence Artificielle MVP,Hiver,Mercredi,34,316.05,Faible,55
Settat,Mixte,Collège Al Wahda,Collège,951,16,Intelligence Artificielle MVP,Hiver,Jeudi,128,1147.98,Faible,70
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,778,21,Creation de Jeux Scratch,Hiver,Lundi,117,1278.43,Faible,70
Settat,Mixte,Collège Al Wahda,Collège,887,16,Creation de Jeux Scratch,Automne,Vendredi,133,1457.59,Faible,83
Azilal,Rurale,Lycée Ouzoud,Lycée,469,20,Creation de Jeux Scratch,Hiver,Jeudi,171,2934.95,Eleve,78
Chefchaouen,Rurale,Collège Al Houria,Collège,572,3,Robotique & Arduino,Hiver,Samedi,177,2330.61,Eleve,86
Azilal,Rurale,Collège Demnate,Collège,569,0,Creation de Jeux Scratch,Hiver,Jeudi,258,3614.82,Eleve,66
Tinghir,Rurale,Lycée Bamou,Lycée,560,9,Intelligence Artificielle MVP,Hiver,Mercredi,172,3043.92,Eleve,70
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,606,15,Robotique & Arduino,Printemps,Mercredi,51,551.28,Faible,72
Safi,Mixte,Lycée Zerktouni,Lycée,687,14,Robotique & Arduino,Ete,Dimanche,93,766.71,Faible,68
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,412,1,Creation de Jeux Scratch,Ete,Vendredi,426,3439.47,Faible,49
Safi,Mixte,Lycée Moulay Ismail,Lycée,588,7,Intelligence Artificielle MVP,Hiver,Mardi,56,558.82,Faible,76
Azilal,Rurale,Collège Demnate,Collège,570,16,Intelligence Artificielle MVP,Automne,Lundi,260,2427.03,Moyen,67
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,856,2,Robotique & Arduino,Ete,Mercredi,10,88.93,Faible,45
Zagora,Rurale,Lycée Hassan II,Lycée,385,10,Initiation Python,Automne,Lundi,169,1368.67,Moyen,62
Midelt,Rurale,Collège Ibn Khaldoun,Collège,657,24,Creation de Jeux Scratch,Automne,Lundi,242,2314.72,Faible,70
Tata,Rurale,Lycée Hassan Ier,Lycée,339,8,Initiation Python,Automne,Mardi,212,1921.15,Faible,64
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,519,12,Initiation Python,Printemps,Vendredi,380,4127.12,Moyen,76
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,905,24,Intelligence Artificielle MVP,Printemps,Mercredi,14,145.12,Faible,62
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,1050,1,Creation de Jeux Scratch,Printemps,Mercredi,40,413.06,Faible,46
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1088,4,Initiation Python,Ete,Mercredi,47,518.65,Faible,40
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,858,21,Intelligence Artificielle MVP,Automne,Jeudi,124,1403.16,Faible,71
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,455,8,Intelligence Artificielle MVP,Hiver,Samedi,246,3947.81,Eleve,79
Zagora,Rurale,Collège Al Massira,Collège,549,24,Robotique & Arduino,Printemps,Dimanche,358,3763.49,Moyen,90
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,931,8,Robotique & Arduino,Automne,Mardi,44,386.01,Faible,67
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1218,24,Intelligence Artificielle MVP,Printemps,Jeudi,35,419.98,Faible,69
Settat,Mixte,Collège Al Wahda,Collège,888,6,Initiation Python,Printemps,Mardi,77,701.85,Faible,67
Tinghir,Rurale,Lycée Bamou,Lycée,492,18,Creation de Jeux Scratch,Automne,Dimanche,415,4526.25,Moyen,86
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,935,17,Robotique & Arduino,Automne,Mercredi,20,197.81,Faible,75
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,893,16,Creation de Jeux Scratch,Printemps,Mercredi,44,364.51,Faible,60
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,496,5,Creation de Jeux Scratch,Hiver,Dimanche,283,3808.13,Eleve,74
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,391,13,Initiation Python,Printemps,Mardi,410,4740.33,Faible,72
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,840,21,Initiation Python,Ete,Mercredi,11,117.35,Faible,56
Zagora,Rurale,Lycée Hassan II,Lycée,433,4,Initiation Python,Automne,Samedi,288,3008.08,Moyen,78
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,238,1,Creation de Jeux Scratch,Ete,Dimanche,116,1259.91,Faible,49
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,873,22,Robotique & Arduino,Ete,Lundi,34,402.0,Faible,55
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,856,4,Initiation Python,Automne,Dimanche,23,218.55,Faible,64
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,830,9,Robotique & Arduino,Automne,Dimanche,32,361.21,Faible,72
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,995,24,Creation de Jeux Scratch,Automne,Vendredi,11,110.97,Faible,64
Safi,Mixte,Lycée Moulay Ismail,Lycée,641,0,Intelligence Artificielle MVP,Printemps,Jeudi,121,1326.85,Faible,62
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,457,11,Robotique & Arduino,Hiver,Mardi,311,4536.96,Eleve,74
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,783,17,Creation de Jeux Scratch,Automne,Mardi,149,1206.32,Faible,81
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1168,4,Creation de Jeux Scratch,Printemps,Vendredi,14,115.88,Faible,54
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,505,16,Robotique & Arduino,Ete,Mardi,123,1048.43,Faible,59
Tata,Rurale,Collège Ibn Batouta,Collège,442,8,Robotique & Arduino,Ete,Samedi,190,1842.43,Faible,72
Settat,Mixte,Lycée Allal Al Fassi,Lycée,832,11,Robotique & Arduino,Automne,Jeudi,97,1077.75,Faible,82
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,468,14,Creation de Jeux Scratch,Printemps,Lundi,197,1590.44,Moyen,73
Midelt,Rurale,Collège Ibn Khaldoun,Collège,647,14,Intelligence Artificielle MVP,Ete,Mercredi,279,3343.46,Faible,61
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,372,11,Creation de Jeux Scratch,Printemps,Jeudi,197,1588.42,Moyen,73
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,884,21,Robotique & Arduino,Printemps,Samedi,36,362.54,Faible,73
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,846,24,Robotique & Arduino,Automne,Samedi,128,1495.56,Faible,91
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,774,6,Initiation Python,Ete,Vendredi,39,398.7,Faible,50
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,221,13,Intelligence Artificielle MVP,Printemps,Mercredi,138,1288.46,Faible,78
Safi,Mixte,Lycée Zerktouni,Lycée,682,3,Intelligence Artificielle MVP,Hiver,Samedi,129,1249.08,Faible,63
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,539,2,Intelligence Artificielle MVP,Ete,Mercredi,134,1228.42,Faible,41
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,688,4,Initiation Python,Printemps,Mercredi,60,711.02,Faible,60
Tinghir,Rurale,Lycée Bamou,Lycée,512,15,Initiation Python,Automne,Jeudi,236,2695.71,Moyen,79
Chefchaouen,Rurale,Collège Al Houria,Collège,598,6,Robotique & Arduino,Automne,Samedi,370,3416.25,Moyen,79
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,284,10,Robotique & Arduino,Ete,Vendredi,305,2869.17,Moyen,65
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,216,2,Intelligence Artificielle MVP,Printemps,Dimanche,137,1350.61,Faible,66
Taroudant,Mixte,Collège Al Majd,Collège,790,9,Initiation Python,Automne,Mercredi,65,745.35,Faible,74
Azilal,Rurale,Lycée Ouzoud,Lycée,395,0,Intelligence Artificielle MVP,Hiver,Vendredi,342,5492.72,Eleve,50
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,478,8,Creation de Jeux Scratch,Hiver,Mercredi,258,3666.47,Eleve,64
Midelt,Rurale,Collège Ibn Khaldoun,Collège,582,2,Creation de Jeux Scratch,Hiver,Vendredi,210,2824.84,Eleve,55
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,906,6,Initiation Python,Ete,Mercredi,33,280.67,Faible,45
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,379,24,Robotique & Arduino,Ete,Samedi,285,3176.27,Moyen,76
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,604,20,Intelligence Artificielle MVP,Printemps,Jeudi,52,601.29,Faible,66
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1017,2,Intelligence Artificielle MVP,Ete,Mardi,35,355.77,Faible,31
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,690,17,Intelligence Artificielle MVP,Hiver,Dimanche,55,460.92,Faible,74
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,861,1,Initiation Python,Automne,Mercredi,44,357.1,Faible,54
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,393,10,Initiation Python,Hiver,Dimanche,165,2537.91,Eleve,74
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,274,23,Intelligence Artificielle MVP,Hiver,Lundi,406,5949.36,Eleve,71
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,659,19,Initiation Python,Ete,Mardi,60,524.86,Faible,55
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,386,1,Intelligence Artificielle MVP,Ete,Samedi,309,3376.66,Faible,41
Settat,Mixte,Lycée Allal Al Fassi,Lycée,892,21,Robotique & Arduino,Hiver,Vendredi,133,1226.92,Faible,80
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,309,24,Intelligence Artificielle MVP,Ete,Mercredi,330,3257.52,Moyen,60
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,630,19,Initiation Python,Ete,Jeudi,121,1007.56,Faible,62
Casablanca,Urbaine,Lycée Mohammed V Casa,Lycée,1060,22,Robotique & Arduino,Automne,Mercredi,14,150.6,Faible,67
Chefchaouen,Rurale,Collège Al Houria,Collège,561,15,Initiation Python,Ete,Mercredi,337,3883.53,Faible,58
Azilal,Rurale,Collège Demnate,Collège,533,3,Creation de Jeux Scratch,Ete,Mercredi,345,3146.19,Faible,49
Azilal,Rurale,Collège Demnate,Collège,548,4,Initiation Python,Printemps,Vendredi,212,2294.41,Moyen,71
Settat,Mixte,Collège Al Wahda,Collège,954,11,Creation de Jeux Scratch,Printemps,Mercredi,89,867.35,Faible,77
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,354,4,Initiation Python,Automne,Samedi,337,3680.49,Moyen,69
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,577,19,Creation de Jeux Scratch,Hiver,Samedi,89,730.76,Faible,84
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,632,15,Robotique & Arduino,Automne,Mardi,78,929.44,Faible,74
